Stations_id;von_datum;bis_datum;Stationshoehe;geoBreite;geoLaenge;Stationsname Bundesland;Abgabe
00410;20040501;20200615;33;52.4040;13.7309;Berlin-Kaniswall;Berlin;Frei
00420;20070801;20250505;61;52.5447;13.5598;Berlin-Marzahn;Berlin;Frei
00424;19610101;19810101;36;52.5000;13.4667;Berlin-Ostkreuz;Berlin;Frei
00427;19750701;20250505;46;52.3807;13.5306;Berlin Brandenburg;Brandenburg;Frei
00430;19610102;20210505;36;52.5644;13.3088;Berlin-Tegel;Berlin;Frei
00433;19490101;20250505;48;52.4676;13.4020;Berlin-Tempelhof;Berlin;Frei
00434;19560101;19601231;35;52.4553;13.4699;Berlin-Treptow;Berlin;Frei
00443;20040315;20250506;936;47.7388;10.7448;Bernbeuren-Prachtsried;Bayern;Frei
00445;20050701;20250505;85;51.8218;11.7110;Bernburg/Saale (Nord);Sachsen-Anhalt;Frei
00450;20051101;20121204;120;49.9186;7.0664;Bernkastel-Kues;Rheinland-Pfalz;Frei
00460;19490101;20250505;362;49.2641;6.6868;Berus;Saarland;Frei
00468;20040911;20250506;505;49.7291;6.9175;Beuren (Hochwald);Rheinland-Pfalz;Frei
00474;19750601;19780601;599;48.1252;9.7639;Warthausen-Birkenhard;Baden-Württemberg;Frei
00479;20050201;20250506;138;50.2435;9.2892;Wächtersbach;Hessen;Frei
00482;19510101;20051130;280;50.8833;8.5500;Biedenkopf-Eckelshausen;Hessen;Frei
00498;20060724;20250506;763;47.7452;8.3111;Ühlingen-Birkendorf;Baden-Württemberg;Frei
00502;19670801;20061230;412;49.8747;9.4883;Bischbrunn;Bayern;Frei
00504;20070601;20250506;79;51.7982;13.9716;Lübbenau/Spreewald-Bischdorf;Brandenburg;Frei
00505;20040901;20060616;332;51.4268;10.0932;Bischhagen;Thüringen;Frei
00508;19940401;20101230;675;50.0539;11.8149;Bischofsgrün;Bayern;
00522;20050220;20250506;425;48.7092;10.6283;Bissingen (Kläranlage);Bayern;Frei
00523;20060301;20180601;359;49.9797;6.5325;Bitburg;Rheinland-Pfalz;Frei
00524;19910101;19921231;80;51.6333;12.3167;Bitterfeld;Sachsen-Anhalt;Frei
00525;19820801;19891231;854;48.2435;9.1007;Bitz;Baden-Württemberg;Frei
00534;19510101;19601231;250;48.0500;7.6333;Blankenhornsberg;Baden-Württemberg;Frei
00535;20040601;20250505;417;50.0372;7.3079;Blankenrath;Rheinland-Pfalz;Frei
00542;20041101;20250506;12;53.2401;10.8522;Bleckede-Walmsburg;Niedersachsen;Frei
00550;20021101;20250506;344;50.9041;11.7985;Bobeck;Thüringen;Frei
00551;20061101;20250506;519;50.3887;11.9955;Weischlitz-Heinersgrün;Sachsen;Frei
00553;19531222;19740903;25;51.8380;6.6107;Bocholt (Marienschule);Nordrhein-Westfalen;Frei
00554;19490101;20060301;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen;Frei
00555;20080101;20250505;110;51.5026;7.2289;Bochum;Nordrhein-Westfalen;Frei
00561;20051001;20250506;11;53.3670;7.9679;Bockhorn-Grabstede;Niedersachsen;Frei
00567;20090901;20250506;260;51.6957;9.5135;Bodenfelde-Amelith;Niedersachsen;Frei
00570;19810101;19811231;648;49.0768;13.0765;Bodenmais-Mais;Bayern;
00589;20040501;20250506;343;48.8846;12.7453;Bogen-Pfelling;Bayern;Frei
00591;19750701;20250505;45;53.3911;10.6878;Boizenburg;Mecklenburg-Vorpommern;Frei
00594;19950101;20000301;425;48.6407;9.6136;Boll, Bad (KKst);Baden-Württemberg;
00596;19750701;20250505;15;54.0027;11.1908;Boltenhagen;Mecklenburg-Vorpommern;Frei
00598;19490101;19570101;62;50.7285;7.0839;Bonn;Nordrhein-Westfalen;Frei
00599;19820713;19990302;62;50.7055;7.1467;Bonn-Friesdorf;Nordrhein-Westfalen;Frei
00602;19510101;19601231;60;50.7167;7.1000;Bonn-Poppelsdorf;Nordrhein-Westfalen;Frei
00603;19990303;20250505;147;50.7293;7.2040;Königswinter-Heiderhof;Nordrhein-Westfalen;Frei
00604;20061009;20250506;875;47.8194;8.3348;Bonndorf/Schwarzwald;Baden-Württemberg;Frei
00613;20041101;20250506;206;51.5677;9.2324;Borgentreich;Nordrhein-Westfalen;Frei
00617;20040601;20250505;47;51.8730;6.8863;Borken in Westfalen;Nordrhein-Westfalen;Frei
00619;19870501;20250505;12;53.5788;6.6703;Borkum-Süderstraße;Niedersachsen;Frei
00620;19790103;19880715;6;53.8000;6.3667;Borkumriff;Hamburg;Frei
00621;19610101;19971231;440;50.3127;6.8260;Borler;Rheinland-Pfalz;Frei
00622;20060601;20250506;66;52.3745;11.4655;Westheide-Born;Sachsen-Anhalt;Frei
00630;20060601;20250506;87;52.0193;11.4059;Wanzleben-Börde / Klein Germersleben;Sachsen-Anhalt;Frei
00633;20040601;20250506;127;51.4036;14.5668;Boxberg;Sachsen;Frei
00634;19800301;19910331;373;49.4442;9.6458;Boxberg-Seehof;Baden-Württemberg;
00635;19800501;19900930;378;49.4500;9.6333;Boxberg-Seehof (West);Baden-Württemberg;
00636;19811101;19910331;373;49.4500;9.6500;Boxberg-Seehof (Wind-3m);Baden-Württemberg;
00642;19810101;20250505;4;53.3518;8.4969;Brake;Niedersachsen;Frei
